"Age","LearningCategorySelftTaught","LearningCategoryOnlineCourses","LearningCategoryWork","LearningCategoryUniversity","LearningCategoryKaggle","GenderSelect","Country","EmploymentStatus","DataScienceIdentitySelect","FormalEducation","MajorSelect","Tenure","FirstTrainingSelect","ParentsEducation","EmployerIndustry","EmployerSize","EmployerSizeChange","EmployerMLTime","EmployerSearchMethod","RemoteWork","CompensationAmount","CompensationCurrency","FormalEducation_Q","Tenure_Q","EmployerSize_Q","...1","exchangeRate","frac","Salary_USD","Compensation_Median_USD","Median_to_Salary"
56,30,0,40,30,0,"Male","United States","Independent contractor, freelancer, or self-employed","Yes","Master's degree","Mathematics or statistics","More than 10 years","University courses","High school","Mix of fields","","","","","",250000,"USD",5,5,NA,1,1,1,250000,110000,0.44
43,70,0,30,0,0,"Female","Australia","Employed full-time","No","Bachelor's degree","","3 to 5 years","Work","A doctoral degree","Non-profit","20 to 99 employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Rarely",80000,"AUD",4,3,3,8,0.80231,0.98,64184.8,96277.2,1.5
33,10,70,15,0,5,"Male","Russia","Employed full-time","Sort of (Explain more)","Bachelor's degree","Other","1 to 2 years","Self-taught","A bachelor's degree","Internet-based","20 to 99 employees","Stayed the same","1-2 years","I visited the company's Web site and found a job listing there","Rarely",1200000,"RUB",4,2,3,6,0.017402,0.76,20882.4,22622.6,1.08333333333333
27,10,0,30,40,0,"Male","India","Employed full-time","","Bachelor's degree","Electrical Engineering","3 to 5 years","University courses","","Mix of fields","100 to 499 employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Rarely",95000,"INR",4,3,4,3,0.01562,0.94,17806.8,15114.75,0.848818990498012
26,50,50,0,0,0,"Male","Taiwan","Employed full-time","No","Master's degree","Computer Science","1 to 2 years","Online courses (coursera, udemy, edx, etc.)","A bachelor's degree","Financial","Fewer than 10 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",1100000,"TWD",5,2,1,16,0.033304,0.74,36634.4,30153.32,0.823087589806302
25,30,20,0,50,0,"Male","United States","Employed part-time","Yes","Bachelor's degree","Physics","3 to 5 years","University courses","A master's degree","Academic","I don't know","Increased significantly","Don't know","Some other way","Sometimes",20000,"USD",4,3,10,1,1,1,20000,110000,5.5
33,10,30,0,10,50,"Male","United States","Employed full-time","No","Doctoral degree","Electrical Engineering","Less than a year","Kaggle competitions","A bachelor's degree","Telecommunications","Fewer than 10 employees","Increased slightly","Don't know","A friend, family member, or former colleague told me","Sometimes",1e+05,"USD",6,1,1,1,1,1,1e+05,110000,1.1
21,55,30,10,5,0,"Male","Czech Republic","Employed part-time","Sort of (Explain more)","Some college/university study without earning a bachelor's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","A professional degree","Academic","Fewer than 10 employees","Stayed the same","Don't know","A friend, family member, or former colleague told me","Always",20000,"CZK",3,1,1,28,0.04582,0.86,10996.8,24742.8,2.25
22,10,60,0,20,10,"Male","Russia","Employed full-time","Yes","Bachelor's degree","Information technology, networking, or system administration","1 to 2 years","University courses","A professional degree","Mix of fields","5,000 to 9,999 employees","Increased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",624000,"RUB",4,2,7,6,0.017402,0.76,10858.848,22622.6,2.08333333333333
34,20,30,50,0,0,"Male","Colombia","Employed full-time","","Master's degree","Computer Science","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A master's degree","Financial","10,000 or more employees","Increased significantly","6-10 years","A friend, family member, or former colleague told me","Rarely",1.56e+08,"COP",5,3,8,17,0.000342,0.8,53352,18639,0.349358974358974
41,40,0,40,0,20,"Male","Germany","Independent contractor, freelancer, or self-employed","","I did not complete any formal education past high school","","More than 10 years","Work","A doctoral degree","Internet-based","","","","","Sometimes",150000,"EUR",1,5,NA,2,1.195826,0.99,179373.9,71749.56,0.4
29,20,50,10,10,10,"Male","Poland","Employed full-time","Sort of (Explain more)","Master's degree","Computer Science","Less than a year","Online courses (coursera, udemy, edx, etc.)","Some college/university study, no bachelor's degree","Pharmaceutical","20 to 99 employees","Increased significantly","1-2 years","I visited the company's Web site and found a job listing there","Rarely",126000,"PLN",5,1,3,11,0.281104,0.92,35419.104,25299.36,0.714285714285714
36,20,10,20,50,0,"Male","United Kingdom","Employed full-time","","Doctoral degree","Electrical Engineering","More than 10 years","University courses","A professional degree","Financial","10,000 or more employees","Increased significantly","6-10 years","An external recruiter or headhunter","Rarely",130000,"GBP",6,5,8,4,1.324188,0.96,172144.44,66209.4,0.384615384615385
35,10,50,15,0,25,"Male","United States","Employed full-time","Sort of (Explain more)","Doctoral degree","Physics","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","A doctoral degree","Technology","10,000 or more employees","Decreased significantly","3-5 years","A friend, family member, or former colleague told me","Rarely",133000,"USD",6,3,8,1,1,1,133000,110000,0.827067669172932
37,40,0,58,2,0,"Male","Sweden","Employed full-time","Yes","Master's degree","Electrical Engineering","More than 10 years","University courses","A bachelor's degree","Technology","10,000 or more employees","Increased significantly","More than 10 years","An external recruiter or headhunter","Sometimes",80000,"USD",5,5,8,1,1,0.2,80000,75122.4,0.93903
30,40,5,25,0,30,"Male","Portugal","Employed full-time","","Master's degree","Physics","3 to 5 years","Kaggle competitions","A master's degree","Technology","10,000 or more employees","Stayed the same","More than 10 years","A general-purpose job board","Most of the time",30000,"EUR",5,3,8,2,1.195826,1,35874.78,28699.824,0.8
26,50,20,25,5,0,"Male","Mexico","Employed part-time","","Some college/university study without earning a bachelor's degree","A social science","1 to 2 years","Self-taught","A bachelor's degree","Technology","Fewer than 10 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Sometimes",2e+05,"MXN",3,2,1,15,0.056414,0.86,11282.8,20309.04,1.8
31,35,20,15,30,0,"Male","Iran","Employed part-time","Yes","Doctoral degree","Computer Science","1 to 2 years","University courses","A doctoral degree","Technology","20 to 99 employees","Increased slightly","1-2 years","A friend, family member, or former colleague told me","Sometimes",15000,"USD",6,2,3,1,1,0.15,15000,12300,0.82
29,15,20,25,20,10,"Male","India","Employed full-time","","Master's degree","Computer Science","3 to 5 years","University courses","A master's degree","Technology","10,000 or more employees","Increased significantly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",120000,"INR",5,3,8,3,0.01562,0.94,22492.8,15114.75,0.671981700810926
25,30,0,10,30,30,"Male","France","Employed full-time","","Master's degree","Mathematics or statistics","3 to 5 years","Self-taught","High school","Financial","1,000 to 4,999 employees","Increased slightly","3-5 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",1e+05,"EUR",5,3,6,2,1.195826,0.99,119582.6,55605.909,0.465
38,60,5,35,0,0,"Male","Spain","Employed full-time","","Doctoral degree","Computer Science","6 to 10 years","University courses","High school","Mix of fields","10 to 19 employees","Increased significantly","3-5 years","I visited the company's Web site and found a job listing there","Sometimes",36000,"EUR",6,4,2,2,1.195826,0.98,43049.736,46637.214,1.08333333333333
40,90,10,0,0,0,"Male","United States","Employed full-time","Yes","Doctoral degree","Physics","More than 10 years","Self-taught","","Technology","100 to 499 employees","Stayed the same","1-2 years","A friend, family member, or former colleague told me","Rarely",215000,"USD",6,5,4,1,1,1,215000,110000,0.511627906976744
44,35,50,15,0,0,"Male","Germany","Employed full-time","No","Master's degree","A humanities discipline","3 to 5 years","Online courses (coursera, udemy, edx, etc.)","High school","Internet-based","500 to 999 employees","Increased slightly","Less than one year","A general-purpose job board","Rarely",65000,"EUR",5,3,5,2,1.195826,0.99,77728.69,71749.56,0.923076923076923
31,20,30,50,0,0,"Female","United States","Employed full-time","Yes","Doctoral degree","Engineering (non-computer focused)","6 to 10 years","Self-taught","A master's degree","Academic","500 to 999 employees","Increased slightly","6-10 years","I was contacted directly by someone at the company (e.g. internal recruiter)","Sometimes",83500,"USD",6,4,5,1,1,1,83500,110000,1.31736526946108
